"Message",Low,"正在启动 .NET Native 编译"
"Message",Low,""
"Message",Low,""
"Message",Low,"任务 ""Gatekeeper"""
"Message",Normal,"Launching 'C:\Users\maozw\.nuget\packages\microsoft.net.native.compiler\1.7.0\tools\x64\ilc\Tools\Gatekeeper.exe @""D:\study\uwpProjects\UWPSamples\Samples\CustomTitleBarSample\obj\x64\Release\ilc\intermediate\gkargs.rsp""'"
"Message",Low,"Microsoft (R) .NET Native ���������汾 1.7.25531.01 "
"Message",Low,"Copyright (C) Microsoft Corporation.  All rights reserved. "
"Message",Low," "
"Message",Low,"���ڼ����򼯡�D:\study\uwpProjects\UWPSamples\Samples\CustomTitleBarSample\obj\x64\Release\ilc\in\CustomTitleBarSample.exe����  "
"Message",Normal,"'C:\Users\maozw\.nuget\packages\microsoft.net.native.compiler\1.7.0\tools\x64\ilc\Tools\Gatekeeper.exe @""D:\study\uwpProjects\UWPSamples\Samples\CustomTitleBarSample\obj\x64\Release\ilc\intermediate\gkargs.rsp""' completed."
"Message",Normal,"Process execution statistics (all times in milliseconds)"
"Message",Normal,"-----------------------------------------------------------------------------"
"Message",Normal,"launch  |  start   |   stop   |   end    | duration | lifetime | [slot] name"
"Message",Normal,"-----------------------------------------------------------------------------"
"Message",Normal,"       0 |       16 |      734 |      734 |      718 |      734 | [0] Gatekeeper"
"Message",Normal,"Number of commands:      1"
"Message",Normal,"Total system time:       734 ms"
"Message",Normal,"System time per command: 734 ms"
"Message",Normal,"Total duration:          718 ms"
"Message",Normal,"Total lifetime:          734 ms"
"Message",Normal,"Requested DOP:           4"
"Message",Normal,"Duration DOP:            1.0"
"Message",Normal,"Lifetime DOP:            1.0"
"Message",Low,"已完成执行任务 ""Gatekeeper""。"
"Message",Low,"已完成在文件 ""Preparation"" 中生成目标 ""RunGatekeeper""。"
"Message",Low,""
"Message",Low,"任务 ""InjectWindowsRuntimeTypeForwards"""
"Message",Normal,"Running 'InjectWindowsRuntimeTypeForwards' transform, heap at 12 MB."
"Message",Normal,"Running 'WriteAssemblies' transform, heap at 16 MB."
"Message",Normal,""
"Message",Normal,"Transform summary"
"Message",Normal,"    ms | heap delta | name"
"Message",Normal,"   114 |          4 | InjectWindowsRuntimeTypeForwards"
"Message",Normal,"    65 |          2 | WriteAssemblies"
"Message",Low,"已完成执行任务 ""InjectWindowsRuntimeTypeForwards""。"
"Message",Low,"已完成在文件 ""Preparation"" 中生成目标 ""InjectWindowRuntimeTypeForwards""。"
"Message",Low,""
"Message",Low,"任务 ""PreResolveAssemblyClosure"""
"Message",Low,"已完成执行任务 ""PreResolveAssemblyClosure""。"
"Message",Low,"已完成在文件 ""Preparation"" 中生成目标 ""PreResolveTransforms""。"
"Message",Low,""
"Message",Low,"任务 ""InitialAssemblyClosure"""
"Message",Low,"已完成执行任务 ""InitialAssemblyClosure""。"
"Message",Low,"任务 ""ResolveInitialReferencesAssemblyClosure1"""
"Message",Low,"已完成执行任务 ""ResolveInitialReferencesAssemblyClosure1""。"
"Message",Low,"任务 ""ResolveInitialReferencesAssemblyClosure2"""
"Message",Low,"已完成执行任务 ""ResolveInitialReferencesAssemblyClosure2""。"
"Message",Low,"已完成在文件 ""Preparation"" 中生成目标 ""ResolveInitialReferences""。"
"Message",Low,"已完成生成项目 ""Preparation""。"
"Message",Low,""
"Message",Low,""
"Message",High,"正在处理应用程序代码"
"Message",Low,"任务 ""ValidateSimpleNames"""
"Message",Low,"已完成执行任务 ""ValidateSimpleNames""。"
"Message",Low,"任务 ""McgContractsResolveFilePath"""
"Message",Low,"已完成执行任务 ""McgContractsResolveFilePath""。"
"Message",Low,"任务 ""McgFacadeResolveFilePath"""
"Message",Low,"已完成执行任务 ""McgFacadeResolveFilePath""。"
"Message",Low,"任务 ""FinalAssemblyClosureRootsResolveFilePaths"""
"Message",Low,"已完成执行任务 ""FinalAssemblyClosureRootsResolveFilePaths""。"
"Message",Low,"任务 ""FinalAssemblyClosure"""
"Message",Low,"已完成执行任务 ""FinalAssemblyClosure""。"
"Message",Low,"任务 ""RunILTransforms"""
"Message",Normal,"Running 'Analysis' transform, heap at 27 MB."
"Message",Low,"Loading 56 modules..."
"Message",Normal,"Imported reflection directives from 7 files:"
"Message",Normal,"D:\study\uwpProjects\UWPSamples\Samples\CustomTitleBarSample\obj\x64\Release\ilc\in\Properties\Default.rd.xml"
"Message",Normal,"System.Diagnostics.Tracing 中的嵌入清单: Resources.System.Diagnostics.Tracing.rd.xml"
"Message",Normal,"System.Private.Reflection 中的嵌入清单: System.Private.Reflection.rd.xml"
"Message",Normal,"System.Private.CoreLib 中的嵌入清单: Resources.System.Private.CoreLib.rd.xml"
"Message",Normal,"System.Private.Uri 中的嵌入清单: Resources.System.Private.Uri.rd.xml"
"Message",Normal,"System.Private.Reflection.Core 中的嵌入清单: System.Private.Reflection.Core.rd.xml"
"Message",Normal,"System.Private.Interop 中的嵌入清单: Resources.System.Private.Interop.rd.xml"
"Message",Normal,"Imported XAML Roots from 1 files:"
"Message",Normal,"D:\study\uwpProjects\UWPSamples\Samples\CustomTitleBarSample\obj\x64\Release\ilc\in\CustomTitleBarSample.xr.xml"
"Message",Normal,"Running 'Mcg' transform, heap at 159 MB."
"Message",High,"Computing application closure and generating interop code"
"Message",Normal,"  .lib 文件列表:"
"Message",Normal,"      WindowsApp.lib"
"Message",Normal,"      winsqlite3.lib"
"Message",Normal,"  .lib 搜索路径列表:"
